Name,Team,POS,PTS,PTS/G,GP,PASSING_CMP,PASSING_YDS,PASSING_TD,PASSING_INT,RUSHING_ATT,RUSHING_YDS,RUSHING_TD,RUSHING_FUM,RECEIVING_TGT,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TD
Jack Westover,NE,TE,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Joshua Cephus,JAX,WR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Baylor Cupp,KC,TE,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
D.J. Williams,TB,RB,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Brenden Bates,NYJ,TE,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0
Jaylen Johnson,LAC,WR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Colson Yankoff,WAS,TE,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Jermaine Jackson,NO,WR,-0.1,0,4,0,0,0,0,1,-1,0,0,0,0,0,0
Jake Browning,CIN,QB,-0.2,-0.1,3,0,0,0,0,2,-2,0,0,0,0,0,0
Kyle Trask,TB,QB,-0.2,-0.1,4,1,5,0,0,5,-4,0,0,0,0,0,0
Tyson Bagent,CHI,QB,-0.3,-0.1,4,2,11,0,0,6,-7,0,0,0,0,0,0
Sam Howell,SEA,QB,-0.8,-0.3,3,5,24,0,1,1,2,0,0,0,0,0,0
Charlie Jones,CIN,WR,-1,-0.1,8,0,0,0,0,0,0,0,1,1,1,5,0
Jha'Quan Jackson,TEN,WR,-1.2,-0.1,12,0,0,0,0,1,-5,0,1,3,1,8,0
Dylan Laube,LV,RB,-2,-0.2,10,0,0,0,0,1,0,0,1,0,0,0,0
Clayton Tune,ARI,QB,-2.1,-0.3,6,2,8,0,0,7,-4,0,1,0,0,0,0
Kadarius Toney,CLE,WR,-2.4,-0.8,3,0,0,0,0,2,-4,0,1,1,0,0,0
