Name,Team,POS,PTS,PTS/G,GP,PASSING_CMP,PASSING_YDS,PASSING_TD,PASSING_INT,RUSHING_ATT,RUSHING_YDS,RUSHING_TD,RUSHING_FUM,RECEIVING_TGT,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TD
Dee Eskridge,MIA,WR,5.9,1,6,0,0,0,0,0,0,0,0,3,3,44,0
Nikko Remigio,KC,WR,5.8,1.2,5,0,0,0,0,0,0,0,0,6,2,48,0
Terrace Marshall Jr.,LV,WR,5.6,0.8,7,0,0,0,0,0,0,0,0,6,3,41,0
Tim Jones,JAX,WR,5.6,0.3,17,0,0,0,0,0,0,0,0,5,3,41,0
Treylon Burks,TEN,WR,5.5,1.1,5,0,0,0,0,2,1,0,0,8,4,34,0
J.J. Taylor,HOU,RB,5.4,1.1,5,0,0,0,0,10,44,0,0,3,2,0,0
Cody White,SEA,WR,5.4,1.4,4,0,0,0,0,0,0,0,0,3,2,44,0
Mike Boone,CAR,RB,5.4,0.9,6,0,0,0,0,13,51,0,0,3,1,-2,0
Greg Dulcich,DEN,TE,5.3,0.6,9,0,0,0,0,0,0,0,0,12,5,28,0
Cam Grandy,CIN,TE,5.3,0.7,8,0,0,0,0,0,0,0,0,5,5,28,0
Dan Chisena,CAR,WR,5.2,0.9,6,0,0,0,0,0,0,0,0,4,3,37,0
Xavier Smith,LAR,WR,5.2,0.3,15,0,0,0,0,4,36,0,0,2,2,6,0
Travis Homer,CHI,RB,4.9,0.5,10,0,0,0,0,6,23,0,0,3,3,11,0
Will Mallory,IND,TE,4.9,0.5,10,0,0,0,0,0,0,0,0,8,4,29,0
Carson Wentz,KC,QB,4.7,1.6,3,12,118,0,0,3,0,0,0,0,0,0,0
Deven Thompkins,CAR,WR,4.7,0.7,7,0,0,0,0,2,7,0,0,4,4,20,0
Alex Bachman,LV,WR,4.6,0.8,6,0,0,0,0,0,0,0,0,3,3,31,0
Allen Robinson II,DET,WR,4.5,0.4,12,0,0,0,0,0,0,0,0,7,3,30,0
Jacob Kibodi,CLE,RB,4.4,4.4,1,0,0,0,0,5,24,0,0,3,1,15,0
Laviska Shenault Jr.,SEA,WR,4.2,0.4,12,0,0,0,0,1,1,0,1,5,5,36,0
David Bell,CLE,WR,4.2,4.2,1,0,0,0,0,0,0,0,0,3,3,27,0
Jermar Jefferson,DET,RB,3.7,1.9,2,0,0,0,0,6,22,0,0,1,1,10,0
Malachi Corley,NYJ,WR,3.7,0.4,9,0,0,0,0,2,26,0,1,6,3,16,0
Jamari Thrash,CLE,WR,3.7,0.4,9,0,0,0,0,0,0,0,0,7,3,22,0
Scott Matlock,LAC,RB,3.6,0.3,12,0,0,0,0,0,0,0,0,3,3,21,0
Dallin Holker,NO,TE,3.6,0.3,12,0,0,0,0,0,0,0,0,4,3,21,0
Dalvin Cook,DAL,RB,3.5,1.8,2,0,0,0,0,8,20,0,0,1,1,10,0
Terrell Jennings,NE,RB,3.3,1.1,3,0,0,0,0,13,33,0,0,1,0,0,0
Ronnie Bell,SF,WR,3.2,0.4,9,0,0,0,0,0,0,0,0,6,2,22,0
Jase McClellan,ATL,RB,3.2,1.6,2,0,0,0,0,13,32,0,0,0,0,0,0
Taylor Heinicke,LAC,QB,3.1,0.8,4,3,28,0,0,2,20,0,0,0,0,0,0
Tanner Conner,MIA,TE,3.1,0.4,8,0,0,0,0,0,0,0,0,4,3,16,0
Rasheen Ali,BAL,RB,3.1,0.5,6,0,0,0,0,10,31,0,0,2,0,0,0
Trenton Irwin,CIN,WR,3,0.4,7,0,0,0,0,0,0,0,0,10,3,15,0
Austin Trammell,JAX,WR,3,3,1,0,0,0,0,0,0,0,1,3,2,40,0
Jaheim Bell,NE,TE,3,0.2,15,0,0,0,0,0,0,0,0,3,2,20,0
Josiah Deguara,JAX,TE,2.9,0.2,15,0,0,0,0,0,0,0,0,3,3,14,0
Blake Watson,DEN,RB,2.8,1.4,2,0,0,0,0,4,10,0,0,2,1,13,0
Anthony Gould,IND,WR,2.8,0.3,8,0,0,0,0,0,0,0,0,1,1,23,0
Mason Kinsey,TEN,WR,2.7,0.5,6,0,0,0,0,0,0,0,0,2,2,17,0
Shane Zylstra,DET,TE,2.7,0.2,12,0,0,0,0,0,0,0,0,1,1,22,0
Hendon Hooker,DET,QB,2.7,0.9,3,6,62,0,0,5,2,0,0,0,0,0,0
Velus Jones Jr.,CHI,WR,2.4,0.8,3,0,0,0,0,3,11,0,0,1,1,8,0
MarShawn Lloyd,GB,RB,2.3,2.3,1,0,0,0,0,6,15,0,0,1,1,3,0
Ian Thomas,CAR,TE,2.2,0.4,5,0,0,0,0,0,0,0,0,6,3,7,0
Isaiah Hodgins,NYG,WR,2.2,0.7,3,0,0,0,0,0,0,0,0,2,2,12,0
Jonathan Ward,PIT,RB,2.2,0.6,4,0,0,0,0,5,22,0,0,0,0,0,0
Chris Blair,ATL,WR,2.2,0.6,4,0,0,0,0,0,0,0,0,2,1,17,0
Anthony Miller,BAL,WR,2.1,1.1,2,0,0,0,0,0,0,0,0,1,1,16,0
Grant DuBose,MIA,WR,2.1,0.7,3,0,0,0,0,0,0,0,0,4,2,11,0
Jack Stoll,PHI,TE,2,0.2,11,0,0,0,0,0,0,0,0,3,2,10,0
Eric Tomlinson,LAC,TE,1.9,0.2,9,0,0,0,0,0,0,0,0,4,2,9,0
Casey Washington,ATL,WR,1.9,0.2,9,0,0,0,0,0,0,0,0,2,1,14,0
Feleipe Franks,CAR,TE,1.7,0.1,16,0,0,0,0,0,0,0,0,3,1,12,0
Brevin Jordan,HOU,TE,1.7,0.8,2,0,0,0,0,0,0,0,0,3,2,7,0
Aaron Shampklin,PIT,RB,1.7,0.6,3,0,0,0,0,6,17,0,0,0,0,0,0
Javon Baker,NE,WR,1.7,0.2,11,0,0,0,0,0,0,0,0,4,1,12,0
Trent Taylor,SF,WR,1.6,0.8,2,0,0,0,0,0,0,0,0,1,1,11,0
James Proche II,CLE,WR,1.6,0.2,9,0,0,0,0,0,0,0,1,3,3,21,0
Isaiah Williams,DET,WR,1.6,0.2,8,0,0,0,0,0,0,0,0,3,2,6,0
Myles Gaskin,MIN,RB,1.5,0.3,5,0,0,0,0,3,-1,0,0,1,1,11,0
George Holani,SEA,RB,1.4,0.3,5,0,0,0,0,3,10,0,0,1,1,-1,0
Brandon Johnson,PIT,WR,1.4,0.5,3,0,0,0,0,0,0,0,0,1,1,9,0
Kendric Pryor,CIN,WR,1.4,0.7,2,0,0,0,0,0,0,0,0,1,1,9,0
Cody Schrader,LAR,RB,1.4,1.4,1,0,0,0,0,1,3,0,0,1,1,6,0
Nick Mullens,MIN,QB,1.3,0.3,4,2,38,0,0,3,-2,0,0,0,0,0,0
Chris Collier,BAL,RB,1.3,0.2,8,0,0,0,0,5,12,0,0,2,1,-4,0
Geoff Swaim,CLE,TE,1.2,0.1,8,0,0,0,0,0,0,0,0,1,1,7,0
John Samuel Shenker,LV,TE,1.2,0.1,8,0,0,0,0,0,0,0,0,1,1,7,0
Jared Wiley,KC,TE,1.2,0.2,7,0,0,0,0,0,0,0,0,1,1,7,0
Ramel Keyton,LV,WR,1.2,0.1,8,0,0,0,0,0,0,0,0,3,1,7,0
Mike White,BUF,QB,1.1,1.1,1,3,28,0,0,0,0,0,0,0,0,0,0
John Ross,PHI,WR,1.1,1.1,1,0,0,0,0,0,0,0,0,2,1,6,0
Collin Johnson,CHI,WR,1.1,0.1,9,0,0,0,0,0,0,0,0,2,1,6,0
Jaelon Darden,CLE,WR,1.1,0.1,12,0,0,0,0,0,0,0,0,1,1,6,0
